# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "2" "-p" "--countReadPairs" "-B" "-C" "-s" "2" "-t" "gene" "-g" "ID" "-a" "reference_genome/annotation.gff3" "-o" "results/day2_rnaseq/counts/featureCounts_all_samples.txt" "results/day2_rnaseq/bam/WTS_1.filtered.bam" "results/day2_rnaseq/bam/WTS_2.filtered.bam" "results/day2_rnaseq/bam/WTS_3.filtered.bam" "results/day2_rnaseq/bam/WT_1.filtered.bam" "results/day2_rnaseq/bam/WT_2.filtered.bam" "results/day2_rnaseq/bam/WT_3.filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	results/day2_rnaseq/bam/WTS_1.filtered.bam	results/day2_rnaseq/bam/WTS_2.filtered.bam	results/day2_rnaseq/bam/WTS_3.filtered.bam	results/day2_rnaseq/bam/WT_1.filtered.bam	results/day2_rnaseq/bam/WT_2.filtered.bam	results/day2_rnaseq/bam/WT_3.filtered.bam
gene-OW489_RS01420	NZ_AP026446.1	304677	306185	-	1509	741	743	739	475	616	394
gene-OW489_RS01425	NZ_AP026446.1	306207	306944	-	738	12505	5285	5517	8752	11703	8188
gene-OW489_RS01430	NZ_AP026446.1	306937	309081	-	2145	5546	4732	5716	8454	11011	8527
gene-OW489_RS01435	NZ_AP026446.1	309091	309858	-	768	1541	1954	2445	2467	3717	2495
gene-OW489_RS01440	NZ_AP026446.1	310072	310776	+	705	1006	1493	1551	1930	2539	2001
gene-OW489_RS01445	NZ_AP026446.1	310786	311619	+	834	1432	1043	1163	1842	2194	2020
gene-OW489_RS01450	NZ_AP026446.1	311619	312629	+	1011	395	625	769	1048	1921	1260
gene-OW489_RS01455	NZ_AP026446.1	312694	313851	+	1158	2170	2184	2473	3300	3976	3776
gene-OW489_RS01460	NZ_AP026446.1	313917	314330	+	414	872	1226	1511	1069	1527	1325
gene-OW489_RS01465	NZ_AP026446.1	314356	314712	+	357	70	77	72	21	22	23
gene-OW489_RS01470	NZ_AP026446.1	314728	314874	+	147	229	1010	1235	1005	1461	1012
gene-OW489_RS01475	NZ_AP026446.1	314951	315970	+	1020	609	982	1492	836	2243	870
gene-OW489_RS01480	NZ_AP026446.1	315995	316990	+	996	1020	888	1449	736	2338	844
gene-OW489_RS01485	NZ_AP026446.1	317012	317314	+	303	41	121	135	152	161	134
gene-OW489_RS01490	NZ_AP026446.1	317605	317988	-	384	75	138	99	230	232	297
gene-OW489_RS08185	NZ_AP026446.1	318049	320427	-	2379	0	0	0	0	0	0
gene-OW489_RS01505	NZ_AP026446.1	321069	322286	+	1218	1259	772	721	1316	1550	1278
gene-OW489_RS01510	NZ_AP026446.1	322300	322749	-	450	29	61	37	4	22	9
gene-OW489_RS01515	NZ_AP026446.1	322739	323329	-	591	95	68	82	14	18	19
gene-OW489_RS01520	NZ_AP026446.1	323367	323495	-	129	0	0	3	3	3	6
gene-OW489_RS01525	NZ_AP026446.1	323649	325001	+	1353	178	300	358	184	335	173
gene-OW489_RS01530	NZ_AP026446.1	325105	326970	+	1866	7544	7881	8980	12674	17736	11815
gene-OW489_RS01535	NZ_AP026446.1	327164	327916	-	753	120	200	211	314	219	306
gene-OW489_RS01540	NZ_AP026446.1	328390	329556	-	1167	436	354	372	194	282	137
gene-OW489_RS01545	NZ_AP026446.1	329567	331432	-	1866	2428	2733	3035	1795	2369	1578
gene-OW489_RS01550	NZ_AP026446.1	331528	333186	+	1659	642	634	710	489	556	449
gene-OW489_RS01555	NZ_AP026446.1	333207	334007	+	801	47	66	93	77	134	119
gene-OW489_RS01560	NZ_AP026446.1	334008	335114	+	1107	164	244	246	244	302	319
gene-OW489_RS01565	NZ_AP026446.1	335166	335465	+	300	160	562	656	585	599	543
gene-OW489_RS01570	NZ_AP026446.1	335470	336300	+	831	344	517	569	183	232	165
gene-OW489_RS01575	NZ_AP026446.1	336316	336867	-	552	2221	3279	3400	4710	5793	4312
gene-OW489_RS01580	NZ_AP026446.1	337012	337473	+	462	219	323	395	288	370	231
gene-OW489_RS01585	NZ_AP026446.1	337646	338809	+	1164	157	282	368	853	1581	735
gene-OW489_RS01590	NZ_AP026446.1	338831	339811	+	981	283	142	231	548	1293	523
gene-OW489_RS01595	NZ_AP026446.1	339971	340204	+	234	808	1268	1292	1066	1874	923
gene-OW489_RS01600	NZ_AP026446.1	340315	341661	+	1347	520	625	681	426	930	447
gene-OW489_RS01605	NZ_AP026446.1	341785	342864	+	1080	1766	3720	4856	6024	8439	5816
gene-OW489_RS01615	NZ_AP026446.1	343566	344399	-	834	159	300	302	220	242	247
gene-OW489_RS01620	NZ_AP026446.1	344634	346715	-	2082	578	1024	1103	4148	4722	3322
gene-OW489_RS01625	NZ_AP026446.1	346974	348131	+	1158	13	27	18	57	61	66
gene-OW489_RS01630	NZ_AP026446.1	348164	348238	-	75	11	49	39	3	9	9
gene-OW489_RS01635	NZ_AP026446.1	348368	349834	-	1467	2179	5400	6332	8108	9362	6601
gene-OW489_RS01640	NZ_AP026446.1	350029	350754	-	726	248	429	451	380	419	269
gene-OW489_RS01645	NZ_AP026446.1	350866	351663	+	798	2798	2822	4016	5009	10181	5054
gene-OW489_RS01650	NZ_AP026446.1	351679	352332	+	654	861	807	1103	1388	3448	1351
gene-OW489_RS01655	NZ_AP026446.1	352357	353529	+	1173	4486	4796	6772	7986	18053	7022
gene-OW489_RS01660	NZ_AP026446.1	353529	354059	+	531	2312	1950	2383	1998	3471	2392
gene-OW489_RS01665	NZ_AP026446.1	354514	355578	-	1065	1693	2239	2388	2828	2381	2889
gene-OW489_RS01670	NZ_AP026446.1	355673	356044	-	372	49	165	158	125	150	90
gene-OW489_RS01675	NZ_AP026446.1	356044	356964	-	921	602	432	395	320	440	347
gene-OW489_RS01680	NZ_AP026446.1	356975	358708	-	1734	1425	1504	1548	1419	1774	1295
gene-OW489_RS01685	NZ_AP026446.1	358712	360061	-	1350	1330	1526	1509	889	1181	704
gene-OW489_RS01690	NZ_AP026446.1	360061	360984	-	924	847	1024	1166	514	658	418
gene-OW489_RS01695	NZ_AP026446.1	360994	361389	-	396	1110	1395	1655	1299	1686	934
gene-OW489_RS01700	NZ_AP026446.1	361382	361666	-	285	4847	2223	2566	6253	8963	5323
gene-OW489_RS01705	NZ_AP026446.1	361687	362121	-	435	9152	11991	14096	74886	104224	69021
gene-OW489_RS01710	NZ_AP026446.1	362327	363472	-	1146	1253	1543	1578	1036	1312	898
gene-OW489_RS01715	NZ_AP026446.1	363469	363786	-	318	571	470	461	460	626	369
gene-OW489_RS01720	NZ_AP026446.1	363783	364811	-	1029	1055	1675	1728	986	1142	989
gene-OW489_RS01725	NZ_AP026446.1	365000	366478	+	1479	5160	5155	5347	5065	6285	4304
gene-OW489_RS01730	NZ_AP026446.1	366499	367587	+	1089	5758	4787	4921	6180	6828	5676
gene-OW489_RS01735	NZ_AP026446.1	367594	368133	+	540	662	672	621	410	700	400
gene-OW489_RS01740	NZ_AP026446.1	368200	369750	-	1551	1488	1232	1275	839	1147	702
gene-OW489_RS01745	NZ_AP026446.1	369760	370782	-	1023	1105	2165	2119	1046	1276	903
gene-OW489_RS01750	NZ_AP026446.1	370889	370964	-	76	16	43	48	6	4	8
gene-OW489_RS01755	NZ_AP026446.1	371123	372565	+	1443	3583	4442	4831	3200	3329	3169
gene-OW489_RS01760	NZ_AP026446.1	372578	373996	+	1419	3718	3250	3573	3709	4551	3693
gene-OW489_RS01765	NZ_AP026446.1	374095	375330	+	1236	3785	3140	3402	922	1388	891
gene-OW489_RS01770	NZ_AP026446.1	375327	375755	+	429	693	817	787	178	257	167
gene-OW489_RS01775	NZ_AP026446.1	375748	376407	+	660	1507	1994	2065	201	408	184
gene-OW489_RS01780	NZ_AP026446.1	376407	377453	+	1047	296	304	301	66	99	82
gene-OW489_RS01785	NZ_AP026446.1	377466	378728	+	1263	280	401	538	64	186	43
gene-OW489_RS01790	NZ_AP026446.1	378747	379901	-	1155	26	69	62	27	28	17
gene-OW489_RS01795	NZ_AP026446.1	379912	380358	-	447	72	224	206	245	241	204
gene-OW489_RS01800	NZ_AP026446.1	380713	381408	+	696	119	342	328	251	315	225
gene-OW489_RS01805	NZ_AP026446.1	381405	382163	+	759	57	77	63	30	54	21
gene-OW489_RS01810	NZ_AP026446.1	382236	384806	+	2571	2103	1748	2589	4825	8895	4517
gene-OW489_RS01815	NZ_AP026446.1	384863	385582	+	720	1036	899	1065	1906	3491	1929
gene-OW489_RS01820	NZ_AP026446.1	385592	386728	+	1137	1050	994	1358	1772	2988	1593
gene-OW489_RS01825	NZ_AP026446.1	386713	387942	+	1230	849	820	972	1560	2726	1457
gene-OW489_RS01830	NZ_AP026446.1	388003	388245	+	243	830	1704	1965	3751	4689	3601
gene-OW489_RS01835	NZ_AP026446.1	388255	389568	+	1314	4462	3599	4322	6133	10283	6395
gene-OW489_RS01840	NZ_AP026446.1	389608	390261	+	654	221	379	491	363	819	430
gene-OW489_RS01845	NZ_AP026446.1	390254	391234	+	981	1574	1636	2091	877	2122	797
gene-OW489_RS01850	NZ_AP026446.1	391224	391757	+	534	345	553	627	355	559	286
gene-OW489_RS01855	NZ_AP026446.1	391754	392293	+	540	230	495	501	366	381	305
gene-OW489_RS01860	NZ_AP026446.1	392310	392708	+	399	76	144	138	104	75	99
gene-OW489_RS01865	NZ_AP026446.1	392745	394040	+	1296	2047	2226	2630	2738	3592	2598
gene-OW489_RS01870	NZ_AP026446.1	394028	394588	+	561	1159	1309	1491	1126	1661	1043
gene-OW489_RS01875	NZ_AP026446.1	394644	394898	+	255	489	662	665	570	588	596
gene-OW489_RS01880	NZ_AP026446.1	394908	396362	+	1455	4172	2916	3023	1902	2321	1842
gene-OW489_RS01885	NZ_AP026446.1	396359	397369	+	1011	274	527	505	172	270	146
gene-OW489_RS01890	NZ_AP026446.1	397366	398352	+	987	1721	1425	1348	734	838	670
gene-OW489_RS01895	NZ_AP026446.1	398596	399711	-	1116	190	256	245	242	277	199
gene-OW489_RS01900	NZ_AP026446.1	399768	401204	+	1437	1985	2013	2232	959	1228	840
gene-OW489_RS01905	NZ_AP026446.1	401211	402242	+	1032	219	344	409	348	572	322
gene-OW489_RS01910	NZ_AP026446.1	402233	403804	+	1572	591	907	979	828	1541	698
gene-OW489_RS01915	NZ_AP026446.1	403801	405057	+	1257	494	758	836	724	984	643
gene-OW489_RS01920	NZ_AP026446.1	405044	406696	+	1653	769	910	973	852	1023	872
gene-OW489_RS01925	NZ_AP026446.1	406699	407217	+	519	235	313	323	200	205	166
gene-OW489_RS01930	NZ_AP026446.1	407230	407703	+	474	634	1069	1122	750	967	759
gene-OW489_RS01935	NZ_AP026446.1	407766	416483	+	8718	687	1285	1202	818	1171	676
gene-OW489_RS01940	NZ_AP026446.1	416531	417748	+	1218	1293	1303	1232	674	711	603
gene-OW489_RS01945	NZ_AP026446.1	417753	418043	+	291	445	415	416	232	381	185
gene-OW489_RS01950	NZ_AP026446.1	418056	418928	+	873	822	1097	1153	526	788	524
gene-OW489_RS01955	NZ_AP026446.1	418929	420608	+	1680	466	734	633	139	131	92
gene-OW489_RS01960	NZ_AP026446.1	420803	421822	+	1020	10386	8880	13737	1088	2791	1154
gene-OW489_RS01965	NZ_AP026446.1	421901	424387	-	2487	3636	4661	5339	1584	2070	1360
gene-OW489_RS01970	NZ_AP026446.1	424619	424933	+	315	2600	6763	6999	2486	2279	2474
gene-OW489_RS01975	NZ_AP026446.1	424948	425214	+	267	3097	5767	5715	2504	2157	2633
gene-OW489_RS01980	NZ_AP026446.1	425331	426980	+	1650	8216	7249	7911	2708	3999	2688
gene-OW489_RS01985	NZ_AP026446.1	426991	427995	+	1005	1242	795	1007	514	1240	436
gene-OW489_RS01990	NZ_AP026446.1	427995	428852	+	858	997	660	861	523	1340	450
gene-OW489_RS01995	NZ_AP026446.1	428864	429727	+	864	380	312	523	230	703	228
gene-OW489_RS02000	NZ_AP026446.1	429724	430530	+	807	1453	822	1243	656	2029	533
gene-OW489_RS02005	NZ_AP026446.1	430550	431632	+	1083	1448	1297	1840	778	2190	675
gene-OW489_RS02010	NZ_AP026446.1	431674	432669	+	996	1028	1450	1514	579	709	469
gene-OW489_RS02015	NZ_AP026446.1	432918	433472	+	555	1582	2384	2557	4121	6857	4129
gene-OW489_RS02020	NZ_AP026446.1	433482	434774	+	1293	710	656	945	805	1226	968
gene-OW489_RS02025	NZ_AP026446.1	434779	435039	+	261	68	86	84	60	98	101
gene-OW489_RS02030	NZ_AP026446.1	435060	435464	+	405	146	181	219	22	47	24
gene-OW489_RS02035	NZ_AP026446.1	435548	436432	+	885	1165	952	913	242	247	263
gene-OW489_RS02040	NZ_AP026446.1	436445	437326	+	882	6043	3894	4237	3738	4738	3856
gene-OW489_RS02045	NZ_AP026446.1	437380	438072	-	693	0	0	0	0	0	0
gene-OW489_RS02050	NZ_AP026446.1	438083	439192	-	1110	0	0	0	0	0	0
gene-OW489_RS02055	NZ_AP026446.1	439288	439674	+	387	384	501	482	385	591	376
gene-OW489_RS02060	NZ_AP026446.1	439674	440639	+	966	1272	1687	1970	1185	1852	1035
gene-OW489_RS02065	NZ_AP026446.1	440645	441790	-	1146	874	1272	1342	1340	1792	1271
gene-OW489_RS02070	NZ_AP026446.1	442285	443040	-	756	11645	7810	8219	43043	59482	43163
gene-OW489_RS02075	NZ_AP026446.1	443101	444726	-	1626	11570	11487	12084	5058	6770	5053
gene-OW489_RS02080	NZ_AP026446.1	444729	444968	-	240	2922	4986	5068	2867	2815	2751
gene-OW489_RS02085	NZ_AP026446.1	445038	445658	-	621	655	1102	1185	1492	2067	1305
gene-OW489_RS02090	NZ_AP026446.1	445651	447258	-	1608	534	825	991	1647	2213	1476
gene-OW489_RS02095	NZ_AP026446.1	447401	447943	+	543	1700	1966	2128	3281	3775	3635
gene-OW489_RS02100	NZ_AP026446.1	447950	448687	-	738	2979	4747	4813	2620	2967	2761
gene-OW489_RS02105	NZ_AP026446.1	448817	449530	+	714	2647	2923	2858	2823	3222	2770
gene-OW489_RS02110	NZ_AP026446.1	449548	450231	+	684	785	693	703	395	574	394
gene-OW489_RS02115	NZ_AP026446.1	450222	451094	+	873	89	165	142	63	78	30
gene-OW489_RS02120	NZ_AP026446.1	451091	451633	+	543	119	204	205	86	152	102
gene-OW489_RS02125	NZ_AP026446.1	451566	452504	-	939	341	480	452	67	136	75
gene-OW489_RS02130	NZ_AP026446.1	452501	453283	-	783	447	710	742	158	197	138
gene-OW489_RS02135	NZ_AP026446.1	453368	453444	+	77	10	23	37	7	4	1
gene-OW489_RS02140	NZ_AP026446.1	453532	454524	+	993	890	1435	1574	714	1309	807
gene-OW489_RS02145	NZ_AP026446.1	454548	455354	+	807	895	1123	1287	874	951	876
gene-OW489_RS02150	NZ_AP026446.1	455351	455584	+	234	56	105	120	81	105	76
gene-OW489_RS02155	NZ_AP026446.1	455596	456396	+	801	390	582	493	202	353	247
gene-OW489_RS02160	NZ_AP026446.1	456393	456803	+	411	4	14	9	4	7	3
gene-OW489_RS02165	NZ_AP026446.1	456857	457054	+	198	0	0	0	0	0	0
gene-OW489_RS02170	NZ_AP026446.1	457245	457583	+	339	0	0	0	0	0	0
gene-OW489_RS02175	NZ_AP026446.1	457567	458127	+	561	0	0	0	0	0	0
gene-OW489_RS02180	NZ_AP026446.1	458138	458467	+	330	0	0	0	0	0	0
gene-OW489_RS02185	NZ_AP026446.1	458551	458817	+	267	0	0	0	0	0	0
gene-OW489_RS02190	NZ_AP026446.1	459142	459528	+	387	0	0	0	0	0	0
gene-OW489_RS02195	NZ_AP026446.1	459528	460313	+	786	0	0	0	0	0	0
gene-OW489_RS02200	NZ_AP026446.1	460303	461391	+	1089	0	0	0	0	0	0
gene-OW489_RS02205	NZ_AP026446.1	461435	462316	-	882	469	390	452	214	219	134
gene-OW489_RS02210	NZ_AP026446.1	462316	463866	-	1551	2298	2034	2158	2026	2575	1771
gene-OW489_RS02215	NZ_AP026446.1	463875	465491	-	1617	3178	3511	3754	4627	5356	4481
gene-OW489_RS02220	NZ_AP026446.1	465740	466408	+	669	65	128	123	193	177	162
gene-OW489_RS02225	NZ_AP026446.1	466452	468155	+	1704	4031	3600	3887	3654	4333	3295
gene-OW489_RS02230	NZ_AP026446.1	468174	469205	+	1032	1807	2294	2401	2214	2691	1817
gene-OW489_RS02235	NZ_AP026446.1	469192	469968	+	777	1233	1185	1189	642	984	564
gene-OW489_RS02240	NZ_AP026446.1	469971	471821	+	1851	3384	2723	2813	2051	2648	1984
gene-OW489_RS02245	NZ_AP026446.1	471836	473626	+	1791	3390	2606	2580	2471	3009	2303
gene-OW489_RS02250	NZ_AP026446.1	473641	474399	+	759	377	430	378	194	336	161
gene-OW489_RS02260	NZ_AP026446.1	475023	475832	-	810	2725	4002	4177	1810	2178	1598
gene-OW489_RS02265	NZ_AP026446.1	475882	477168	-	1287	576	524	560	259	344	219
gene-OW489_RS02270	NZ_AP026446.1	477331	479883	-	2553	2465	3252	3094	1865	2180	1755
gene-OW489_RS02275	NZ_AP026446.1	479880	482216	-	2337	1286	2175	2322	1203	1821	1093
gene-OW489_RS02280	NZ_AP026446.1	482213	484138	-	1926	3005	2347	2494	1982	2434	1875
gene-OW489_RS02285	NZ_AP026446.1	484185	485027	-	843	162	321	325	105	146	61
gene-OW489_RS02290	NZ_AP026446.1	484993	485700	-	708	23	53	55	8	6	4
gene-OW489_RS02295	NZ_AP026446.1	485700	486215	-	516	973	1490	1503	488	454	425
gene-OW489_RS02300	NZ_AP026446.1	486282	487205	+	924	843	707	818	951	1283	864
gene-OW489_RS02305	NZ_AP026446.1	487488	488921	+	1434	81	103	90	123	164	111
gene-OW489_RS02310	NZ_AP026446.1	489013	490677	+	1665	878	1146	1095	793	974	777
gene-OW489_RS02315	NZ_AP026446.1	490671	491294	+	624	112	155	179	89	127	57
gene-OW489_RS02320	NZ_AP026446.1	491298	491867	+	570	59	81	84	52	67	39
gene-OW489_RS02325	NZ_AP026446.1	491978	493162	+	1185	0	0	0	0	0	0
gene-OW489_RS02330	NZ_AP026446.1	493155	493823	+	669	0	0	0	0	0	0
gene-OW489_RS02335	NZ_AP026446.1	493897	494892	+	996	395	391	403	327	393	371
gene-OW489_RS02340	NZ_AP026446.1	494896	495411	-	516	4925	5574	6207	2027	2865	2041
gene-OW489_RS02345	NZ_AP026446.1	495544	496854	+	1311	859	1253	1245	696	815	688
gene-OW489_RS02350	NZ_AP026446.1	497063	497341	+	279	0	0	0	0	0	0
gene-OW489_RS02355	NZ_AP026446.1	497516	497716	-	201	415	853	859	1296	1059	1356
gene-OW489_RS02360	NZ_AP026446.1	497717	499942	-	2226	1481	1785	1880	773	1234	699
gene-OW489_RS02365	NZ_AP026446.1	499939	500652	-	714	1588	1562	1579	1038	1239	913
gene-OW489_RS02370	NZ_AP026446.1	500642	500896	-	255	990	864	1056	897	1560	927
gene-OW489_RS02375	NZ_AP026446.1	500899	502797	-	1899	10387	9870	10472	12717	13268	12977
gene-OW489_RS02380	NZ_AP026446.1	502806	503795	-	990	1478	2548	2927	2306	3485	2055
gene-OW489_RS02385	NZ_AP026446.1	503808	504182	-	375	3906	5458	5731	6452	7113	6143
gene-OW489_RS02390	NZ_AP026446.1	504473	505075	+	603	632	880	1034	547	580	493
gene-OW489_RS02395	NZ_AP026446.1	505077	505164	-	88	51	198	206	43	22	27
gene-OW489_RS02400	NZ_AP026446.1	505207	505614	-	408	194	390	346	136	190	102
gene-OW489_RS02405	NZ_AP026446.1	505617	505859	-	243	14	24	25	8	9	3
gene-OW489_RS02410	NZ_AP026446.1	505853	506389	-	537	256	401	363	122	208	107
gene-OW489_RS02415	NZ_AP026446.1	506386	507423	-	1038	224	379	367	117	131	75
gene-OW489_RS02420	NZ_AP026446.1	507424	508185	-	762	1161	1200	1326	622	654	580
gene-OW489_RS02425	NZ_AP026446.1	508178	508660	-	483	1125	2029	2124	703	924	609
gene-OW489_RS02430	NZ_AP026446.1	508728	509738	-	1011	1878	2087	2341	2588	3282	2211
gene-OW489_RS02435	NZ_AP026446.1	509739	510551	-	813	430	759	697	944	1035	851
gene-OW489_RS02440	NZ_AP026446.1	510701	511423	+	723	106	205	244	60	72	32
gene-OW489_RS02445	NZ_AP026446.1	511413	512267	+	855	368	416	441	293	304	280
gene-OW489_RS02450	NZ_AP026446.1	512276	513220	+	945	294	717	710	250	351	299
gene-OW489_RS02455	NZ_AP026446.1	513230	514552	+	1323	307	521	613	172	335	175
gene-OW489_RS02460	NZ_AP026446.1	514555	515142	+	588	133	338	349	169	210	169
gene-OW489_RS02465	NZ_AP026446.1	515139	516026	+	888	6929	6107	8044	9543	16091	9708
gene-OW489_RS02470	NZ_AP026446.1	516048	516521	+	474	383	807	1198	867	2039	772
gene-OW489_RS02475	NZ_AP026446.1	516575	517456	+	882	7657	4497	5075	2739	3567	2715
gene-OW489_RS02480	NZ_AP026446.1	517443	517697	+	255	1144	926	1050	432	471	305
gene-OW489_RS02485	NZ_AP026446.1	517694	520576	+	2883	5080	6104	6239	2766	3501	2565
gene-OW489_RS02490	NZ_AP026446.1	520576	520911	+	336	189	249	209	71	141	71
gene-OW489_RS02495	NZ_AP026446.1	520904	521344	+	441	678	696	691	144	239	171
gene-OW489_RS02500	NZ_AP026446.1	521452	523440	-	1989	2447	2841	2972	4998	5868	5370
gene-OW489_RS02505	NZ_AP026446.1	523645	524757	+	1113	559	845	776	418	531	359
gene-OW489_RS02510	NZ_AP026446.1	525100	525771	+	672	3381	3426	3701	5039	6557	4846
gene-OW489_RS02515	NZ_AP026446.1	526104	527147	-	1044	340	453	461	284	429	299
gene-OW489_RS02520	NZ_AP026446.1	527178	529379	-	2202	1892	2395	2468	1566	1981	1305
gene-OW489_RS02525	NZ_AP026446.1	529517	529789	+	273	8268	10636	10940	5458	6190	4986
gene-OW489_RS02530	NZ_AP026446.1	529819	531108	+	1290	2152	2232	2373	311	513	348
gene-OW489_RS02535	NZ_AP026446.1	531238	531741	+	504	4706	6918	7045	19746	18793	18884
gene-OW489_RS02540	NZ_AP026446.1	531755	532828	+	1074	14374	7368	8620	26660	37904	27058
gene-OW489_RS02545	NZ_AP026446.1	532828	533316	+	489	478	751	1038	1094	2718	921
gene-OW489_RS02550	NZ_AP026446.1	533313	534689	+	1377	1237	1411	2264	1285	3349	1174
gene-OW489_RS02555	NZ_AP026446.1	534686	535570	+	885	795	730	914	595	1048	590
gene-OW489_RS02560	NZ_AP026446.1	535575	535889	+	315	326	321	405	273	399	243
gene-OW489_RS02565	NZ_AP026446.1	535867	536643	+	777	775	845	850	615	782	499
gene-OW489_RS02570	NZ_AP026446.1	536636	537700	+	1065	110	171	211	119	114	110
gene-OW489_RS02575	NZ_AP026446.1	537704	538567	+	864	429	449	491	339	493	325
gene-OW489_RS02580	NZ_AP026446.1	538595	539131	+	537	20	20	36	21	30	20
gene-OW489_RS02585	NZ_AP026446.1	539128	539625	+	498	508	661	620	405	647	435
gene-OW489_RS02590	NZ_AP026446.1	539633	540082	-	450	3409	3717	3986	2585	3212	2381
gene-OW489_RS02595	NZ_AP026446.1	540242	541417	-	1176	158	279	324	166	298	140
gene-OW489_RS02600	NZ_AP026446.1	541414	541785	-	372	195	199	271	275	407	281
gene-OW489_RS02605	NZ_AP026446.1	541795	542661	-	867	420	581	656	697	974	795
gene-OW489_RS02610	NZ_AP026446.1	542829	544079	+	1251	411	702	693	808	883	871
gene-OW489_RS02615	NZ_AP026446.1	544169	545035	-	867	1338	2374	2411	538	689	441
gene-OW489_RS02620	NZ_AP026446.1	545258	546154	-	897	2090	2206	2575	1642	2569	1313
gene-OW489_RS02625	NZ_AP026446.1	546171	547391	-	1221	4362	3283	3340	3271	4331	2758
gene-OW489_RS02630	NZ_AP026446.1	547413	548843	-	1431	8771	8220	9244	10371	13429	9336
gene-OW489_RS02635	NZ_AP026446.1	548887	550329	-	1443	887	887	1097	603	1057	550
gene-OW489_RS02640	NZ_AP026446.1	550523	551062	-	540	692	1057	1117	326	547	313
gene-OW489_RS02645	NZ_AP026446.1	551059	551667	-	609	353	443	497	177	418	165
gene-OW489_RS02650	NZ_AP026446.1	551677	552465	-	789	1402	1646	2046	1791	2958	1813
gene-OW489_RS02655	NZ_AP026446.1	552462	553364	-	903	2946	3320	3639	2329	3228	2080
gene-OW489_RS02660	NZ_AP026446.1	553379	554713	-	1335	13916	13306	14161	11879	16598	11030
gene-OW489_RS02665	NZ_AP026446.1	554710	555765	-	1056	344	351	365	212	274	220
gene-OW489_RS02670	NZ_AP026446.1	555802	557829	-	2028	923	1495	1618	1001	1403	860
gene-OW489_RS02675	NZ_AP026446.1	557936	558013	-	78	1	2	1	0	0	0
gene-OW489_RS02680	NZ_AP026446.1	558079	559251	-	1173	0	0	0	0	0	0
gene-OW489_RS02685	NZ_AP026446.1	559244	560875	-	1632	4	13	8	6	6	1
gene-OW489_RS02690	NZ_AP026446.1	560865	563990	-	3126	20	79	73	29	45	22
gene-OW489_RS02695	NZ_AP026446.1	564038	565933	-	1896	179	365	375	170	239	148
gene-OW489_RS02700	NZ_AP026446.1	565959	566726	-	768	1257	1642	1724	1673	2257	1495
gene-OW489_RS02705	NZ_AP026446.1	566736	567050	-	315	740	1319	1309	1273	1656	1127
gene-OW489_RS02710	NZ_AP026446.1	567052	568539	-	1488	4078	5190	5693	8287	11885	7152
gene-OW489_RS02715	NZ_AP026446.1	568551	569051	-	501	2341	1136	1240	2052	3080	2010
gene-OW489_RS02720	NZ_AP026446.1	569036	570772	-	1737	6215	6756	7523	14194	21558	12466
gene-OW489_RS02725	NZ_AP026446.1	570869	572119	-	1251	240	530	533	231	362	244
gene-OW489_RS02730	NZ_AP026446.1	572272	572454	-	183	1	11	9	1	0	1
gene-OW489_RS02735	NZ_AP026446.1	572438	572998	-	561	22670	24296	26574	41587	48401	39958
gene-OW489_RS08110	NZ_AP026446.1	573042	573185	-	144	5	2	2	1	3	0
gene-OW489_RS02755	NZ_AP026446.1	575509	576900	-	1392	1393	1560	1679	2350	2923	2035
gene-OW489_RS02760	NZ_AP026446.1	577018	578121	+	1104	10	13	22	16	14	10
gene-OW489_RS02765	NZ_AP026446.1	578130	579767	+	1638	137	240	296	179	267	107
gene-OW489_RS02770	NZ_AP026446.1	579733	580581	+	849	20	54	28	11	19	12
gene-OW489_RS02775	NZ_AP026446.1	580627	582426	+	1800	6122	4698	5482	8165	9768	8726
gene-OW489_RS02780	NZ_AP026446.1	582442	583371	+	930	317	621	803	675	1143	820
gene-OW489_RS02785	NZ_AP026446.1	583374	583997	+	624	27	90	105	127	243	131
gene-OW489_RS02790	NZ_AP026446.1	584088	585143	+	1056	54	122	106	19	64	24
gene-OW489_RS02800	NZ_AP026446.1	586133	587077	-	945	3457	3511	3657	6033	6561	5712
gene-OW489_RS02805	NZ_AP026446.1	587348	588934	+	1587	8255	9856	10278	8386	8793	7873
gene-OW489_RS02825	NZ_AP026446.1	591609	591785	-	177	0	0	0	0	0	0
gene-OW489_RS02830	NZ_AP026446.1	591823	592074	+	252	0	0	0	0	0	0
gene-OW489_RS02840	NZ_AP026446.1	592578	593714	-	1137	4906	5755	6289	2483	3820	2379
gene-OW489_RS02845	NZ_AP026446.1	593896	594084	-	189	2205	4184	4584	2928	3919	2817
gene-OW489_RS02850	NZ_AP026446.1	594184	595032	-	849	1014	2379	2426	2001	2543	1902
gene-OW489_RS02855	NZ_AP026446.1	595158	596219	+	1062	1011	1041	994	484	620	411
gene-OW489_RS02860	NZ_AP026446.1	596221	597489	+	1269	348	572	547	277	400	226
gene-OW489_RS02865	NZ_AP026446.1	597486	597746	-	261	49	60	70	62	72	48
gene-OW489_RS02870	NZ_AP026446.1	597736	598137	-	402	529	777	778	392	416	335
